area,location,price
 316 m,"Quận Hoàng Mai, Hà Nội",50000000
 90 m,"Quận Hoàng Mai, Hà Nội",30000000
 95 m,"Quận Hoàng Mai, Hà Nội",31000000
 110 m,"Quận Hoàng Mai, Hà Nội",165000000
 50 m,"Quận Hoàng Mai, Hà Nội",24000000
 60 m,"Quận Hoàng Mai, Hà Nội",30000000
 208 m,"Quận Hoàng Mai, Hà Nội",450000
 50 m,"Quận Hoàng Mai, Hà Nội",300000
 100 m,"Quận Ba Đình, Hà Nội",10000000
 100 m,"Quận Hoàng Mai, Hà Nội",45000000
 25 m,"Quận Hoàng Mai, Hà Nội",5000000
 18 m,"Quận Hoàng Mai, Hà Nội",8000000
 20 m,"Quận Hoàng Mai, Hà Nội",25000000
 656 m,"Quận Ba Đình, Hà Nội",500000
 110 m,"Quận Ba Đình, Hà Nội",10000000
 50 m,"Quận Ba Đình, Hà Nội",20000000
 75 m,"Quận Ba Đình, Hà Nội",75000000
 65 m,"Quận Ba Đình, Hà Nội",50000000
 88 m,"Quận Ba Đình, Hà Nội",20000000
 09 m,"Quận Ba Đình, Hà Nội",8000000
 60 m,"Quận Đống Đa, Hà Nội",10000000
 80 m,"Quận Ba Đình, Hà Nội",18000000
 20 m,"Quận Ba Đình, Hà Nội",12000000
 55 m,"Quận Ba Đình, Hà Nội",135000000
 50 m,"Quận Ba Đình, Hà Nội",135000000
 300 m,"Quận Cầu Giấy, Hà Nội",60000000
 120 m,"Quận Đống Đa, Hà Nội",40000000
 90 m,"Quận Đống Đa, Hà Nội",30000000
 80 m,"Quận Đống Đa, Hà Nội",17000000
 45 m,"Quận Đống Đa, Hà Nội",8000000
 50 m,"Quận Đống Đa, Hà Nội",8000000
 340 m,"Quận Đống Đa, Hà Nội",120000000
 110 m,"Quận Đống Đa, Hà Nội",100000000
 60 m,"Quận Cầu Giấy, Hà Nội",50000000
 200 m,"Quận Cầu Giấy, Hà Nội",90000000
 240 m,"Quận Cầu Giấy, Hà Nội",100000000
 70 m,"Quận Cầu Giấy, Hà Nội",125000000
 80 m,"Quận Cầu Giấy, Hà Nội",280000
 45 m,"Quận Cầu Giấy, Hà Nội",6000000
 28 m,"Quận Cầu Giấy, Hà Nội",5000000
 40 m,"Quận Hai Bà Trưng, Hà Nội",30000000
 50 m,"Quận Hoàn Kiếm, Hà Nội",55000000
 65 m,"Quận Đống Đa, Hà Nội",45000000
 80 m,"Quận Đống Đa, Hà Nội",40000000
 90 m,"Quận Đống Đa, Hà Nội",55000000
 70 m,"Quận Đống Đa, Hà Nội",1234000000
 80 m,"Quận Đống Đa, Hà Nội",1.32324E+11
 80 m,"Quận Đống Đa, Hà Nội",12232000000
 55 m,"Quận Đống Đa, Hà Nội",60000000
 120 m,"Quận Hà Đông, Hà Nội",60000000
 36 m,"Quận Cầu Giấy, Hà Nội",185000000
 48 m,"Quận Cầu Giấy, Hà Nội",139000000
 46 m,"Quận Cầu Giấy, Hà Nội",14000000
 50 m,"Quận Cầu Giấy, Hà Nội",6000000
 1.000 m,"Quận Cầu Giấy, Hà Nội",200000000
 40 m,"Quận Cầu Giấy, Hà Nội",11000000
 35 m,"Quận Cầu Giấy, Hà Nội",55000000
 35 m,"Quận Cầu Giấy, Hà Nội",55000000
 50 m,"Quận Hai Bà Trưng, Hà Nội",20000000
 115 m,"Quận Hai Bà Trưng, Hà Nội",50000000
 40 m,"Quận Hai Bà Trưng, Hà Nội",35000000
 40 m,"Quận Hai Bà Trưng, Hà Nội",18000000
 40 m,"Quận Hai Bà Trưng, Hà Nội",19000000
 55 m,"Quận Hai Bà Trưng, Hà Nội",23000000
 35 m,"Quận Hai Bà Trưng, Hà Nội",28000000
 20 m,"Quận Hoàn Kiếm, Hà Nội",36000000
 90 m,"Quận Hoàn Kiếm, Hà Nội",13000000
 40 m,"Quận Hoàn Kiếm, Hà Nội",32000000
 20 m,"Quận Hoàn Kiếm, Hà Nội",12000000
 38 m,"Quận Hoàn Kiếm, Hà Nội",28000000
 50 m,"Quận Hoàn Kiếm, Hà Nội",50000000
 50 m,"Quận Hoàn Kiếm, Hà Nội",25000000
 45 m,"Quận Hoàn Kiếm, Hà Nội",25000000
 35 m,"Quận Đống Đa, Hà Nội",30000000
 70 m,"Quận Đống Đa, Hà Nội",60000000
 70 m,"Quận Đống Đa, Hà Nội",16000000
 35 m,"Quận Đống Đa, Hà Nội",55000000
 110 m,"Quận Đống Đa, Hà Nội",36000000
 100 m,"Quận Hà Đông, Hà Nội",45000000
 100 m,"Quận Hà Đông, Hà Nội",55000000
 50 m,"Quận Hà Đông, Hà Nội",30000000
 45 m,"Quận Hà Đông, Hà Nội",45000000
 50 m,"Quận Hà Đông, Hà Nội",75000000
 320 m,"Quận Hà Đông, Hà Nội",14000000
 90 m,"Quận Hà Đông, Hà Nội",10000000
 35 m,"Quận Cầu Giấy, Hà Nội",55000000
 35 m,"Quận Cầu Giấy, Hà Nội",6000000
 500 m,"Quận Cầu Giấy, Hà Nội",250000000
 200 m,"Quận Cầu Giấy, Hà Nội",161000000
 50 m,"Quận Hai Bà Trưng, Hà Nội",13000000
 35 m,"Quận Hai Bà Trưng, Hà Nội",25000000
 30 m,"Quận Hai Bà Trưng, Hà Nội",18000000
 70 m,"Quận Hai Bà Trưng, Hà Nội",16000000
 65 m,"Quận Hai Bà Trưng, Hà Nội",65000000
 75 m,"Quận Hai Bà Trưng, Hà Nội",23000000
 25 m,"Quận Hai Bà Trưng, Hà Nội",9000000
 18 m,"Quận Bắc Từ Liêm, Hà Nội",5000000
 35 m,"Quận Hoàn Kiếm, Hà Nội",32000000
 35 m,"Quận Hoàn Kiếm, Hà Nội",30000000
 30 m,"Quận Hoàn Kiếm, Hà Nội",20000000
 30 m,"Quận Hoàn Kiếm, Hà Nội",30000000
 50 m,"Quận Hoàn Kiếm, Hà Nội",60000000
 60 m,"Quận Hoàn Kiếm, Hà Nội",15000000
 1.100 m,"Quận Hoàn Kiếm, Hà Nội",345000
 10 m,"Quận Hoàn Kiếm, Hà Nội",8000000
 530 m,"Quận Hà Đông, Hà Nội",40000000
 60 m,"Quận Hà Đông, Hà Nội",10000000
 95 m,"Quận Hà Đông, Hà Nội",40000000
 12 m,"Quận Hà Đông, Hà Nội",7000000
 90 m,"Quận Hà Đông, Hà Nội",220000
 10.000 m,"Quận Long Biên, Hà Nội",45000
 80 m,"Quận Hai Bà Trưng, Hà Nội",32000000
 40 m,"Quận Hai Bà Trưng, Hà Nội",18000000
 885 m,"Quận Hai Bà Trưng, Hà Nội",30000000
 80 m,"Quận Hai Bà Trưng, Hà Nội",70000000
 28 m,"Quận Hai Bà Trưng, Hà Nội",100000
 50 m,"Quận Nam Từ Liêm, Hà Nội",75000000
 60 m,"Quận Bắc Từ Liêm, Hà Nội",20000000
 700 m,"Quận Bắc Từ Liêm, Hà Nội",150000
 130 m,"Quận Bắc Từ Liêm, Hà Nội",65000000
 100 m,"Quận Bắc Từ Liêm, Hà Nội",50000000
 123 m,"Quận Bắc Từ Liêm, Hà Nội",13000000
 280 m,"Quận Bắc Từ Liêm, Hà Nội",39000000
 400 m,"Quận Tây Hồ, Hà Nội",35000000
 40 m,"Quận Hoàn Kiếm, Hà Nội",45000000
 1.100 m,"Quận Hoàn Kiếm, Hà Nội",270000
 35 m,"Quận Hoàn Kiếm, Hà Nội",20000000
 100 m,"Quận Long Biên, Hà Nội",260000
 1.400 m,"Quận Long Biên, Hà Nội",45000
 90 m,"Quận Long Biên, Hà Nội",18000000
 100 m,"Quận Thanh Xuân, Hà Nội",20000000
 48 m,"Quận Nam Từ Liêm, Hà Nội",15000000
 81 m,"Quận Nam Từ Liêm, Hà Nội",25000000
 70 m,"Quận Nam Từ Liêm, Hà Nội",15000000
 30 m,"Quận Nam Từ Liêm, Hà Nội",3000000
 200 m,"Quận Nam Từ Liêm, Hà Nội",100000000
 90 m,"Quận Nam Từ Liêm, Hà Nội",17000000
 700 m,"Quận Nam Từ Liêm, Hà Nội",185000
 700 m,"Quận Bắc Từ Liêm, Hà Nội",595000000
 80 m,"Quận Bắc Từ Liêm, Hà Nội",35000000
 140 m,"Quận Tây Hồ, Hà Nội",18000000
 130 m,"Quận Tây Hồ, Hà Nội",65000000
 175 m,"Quận Thanh Xuân, Hà Nội",85000000
 60 m,"Quận Thanh Xuân, Hà Nội",485000000
 120 m,"Quận Thanh Xuân, Hà Nội",900000
 100 m,"Quận Thanh Xuân, Hà Nội",300000
 220 m,"Quận Nam Từ Liêm, Hà Nội",468000
 90 m,"Quận Nam Từ Liêm, Hà Nội",45000000
 93 m,"Quận Nam Từ Liêm, Hà Nội",22000000
 60 m,"Quận Nam Từ Liêm, Hà Nội",12000000
 70 m,"Quận Nam Từ Liêm, Hà Nội",15000000
 97 m,"Quận Nam Từ Liêm, Hà Nội",16000000
 60 m,"Quận Thanh Xuân, Hà Nội",20000000
 80 m,"Quận Thanh Xuân, Hà Nội",10000000
 70 m,"Quận Thanh Xuân, Hà Nội",16000000
 3.500 m,"Quận Thanh Xuân, Hà Nội",325000
 420 m,"Quận Thanh Xuân, Hà Nội",189000000
